Michael Jackson	Michael Jackson	2.3
W 1993 został oskarżony o molestowanie seksualne nieletnich .	We 1993 pjyrszy roz uostoł uoskarżůny uo seksualne molestowańy bajtli .	4.15556
Wątek jego nieodpowiedniego związku z dziećmi pojawił się ponownie w 2003 , po emisji dokumentu `` Living with Michael Jackson '' , jednak w 2005 został uniewinniony ze wszystkich zarzutów .		-0.3
Miał troje dzieci : Michaela Josepha Juniora ( znanego jako „ Prince ” ) , Paris Michael Katherine oraz Prince ’ a Michaela ( znanego jako „ Blanket ” ) .		-0.3
Zmarł 25 czerwca 2009 , w wieku 50 lat , wskutek „ nagłego zatrzymania akcji serca ” .	We lotach 1994-1996 bůł żyńaty ze cerům uod Elvisa Presleya , Lisům Mariům Presley .	0.670714
W 2020 po raz dziewiąty z rzędu znalazł się na szczycie listy magazynu „ Forbes ” jako najlepiej zarabiający nieżyjący artysta , generując zyski w wysokości 400 mln dolarów .		-0.3
Tym samym ustanawiając rekord , ponad 2 mld dolarów zarobionych w ciągu 11 lat od śmierci .		-0.3
Życiorys . ~~~ 1958–1977 : Dzieciństwo i początki kariery .	Umrził skiż hercszlagu .	0.32
Michael Jackson urodził się w Gary w stanie Indiana .		-0.3
Był siódmym z dziewięciorga dzieci , a zarazem piątym z sześciu synów w robotniczej rodzinie Josepha ( 1928-2018 ) i Katherine Jackson ( ur . ~~~ 1930 ) .		-0.3
Katherine , będąca Świadkiem Jehowy , wychowywała dzieci w swej wierze bez udziału ojca .		-0.3
W wieku 17 lat Michael Jackson został ochrzczonym Świadkiem Jehowy ( potem jednak został wykluczony ze wspólnoty ) .		-0.3
Według wywiadów udzielonych po latach przez samego Michaela ojciec , który był późniejszym menadżerem ich zespołu muzycznego , potrafił być bezwzględny w dyscyplinie narzucanej dzieciom i nie powstrzymywał się też od przemocy fizycznej wobec nich .		-0.3
Sam ojciec Jacksona , Joe , przyznał w 2003 roku , że regularnie bił Michaela .		-0.3
Michael ujawnił swój talent muzyczny w bardzo wczesnym wieku .		-0.3
W 1964 roku , wraz z bratem Marlonem przyłączył się do nowo założonego przez braci Jackie , Tito i Jermaine zespołu The Jackson Brothers .		-0.3
Początkowo Michael wspomagał muzyków grą na kongach i tamburynie , by w późniejszym czasie wspólnie z Jermainem wykorzystywać swoje umiejętności wokalne .		-0.3
W tym okresie chłopcy dali wiele koncertów w stanie Indiana , zaś po wygraniu lokalnego konkursu młodych talentów w 1966 roku ( wykonując piosenkę zespołu The Temptations – „ My Girl ” , śpiewaną przez Michaela ) zaczęli grać profesjonalne koncerty w Chicago oraz na Środkowym Zachodzie ( `` Midwest '' ) Stanów Zjednoczonych .		-0.3
Wiele z tych koncertów odbyło się w cieszących się złą sławą klubach nocnych dla czarnoskórych , w miejscach zwanych „ Chitlin ' Circuit ” , gdzie młodzi chłopcy musieli grać przed występami striptizerek .		-0.3
		0.3
